Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T11:00+01:00;2014-01-18T12:00+01:00;2014-01-18;11:00;12:00;1;214;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T11:00+01:00;2014-01-18T12:00+01:00;2014-01-18;11:00;12:00;2;244;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T11:00+01:00;2014-01-18T12:00+01:00;2014-01-18;11:00;12:00;Totalt i retning B�RUMSVEIEN;244;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T11:00+01:00;2014-01-18T12:00+01:00;2014-01-18;11:00;12:00;Totalt i retning E18;214;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T11:00+01:00;2014-01-18T12:00+01:00;2014-01-18;11:00;12:00;Totalt;458;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T12:00+01:00;2014-01-18T13:00+01:00;2014-01-18;12:00;13:00;1;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T12:00+01:00;2014-01-18T13:00+01:00;2014-01-18;12:00;13:00;2;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T12:00+01:00;2014-01-18T13:00+01:00;2014-01-18;12:00;13:00;Totalt i retning B�RUMSVEIEN;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T12:00+01:00;2014-01-18T13:00+01:00;2014-01-18;12:00;13:00;Totalt i retning E18;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T12:00+01:00;2014-01-18T13:00+01:00;2014-01-18;12:00;13:00;Totalt;555;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T13:00+01:00;2014-01-18T14:00+01:00;2014-01-18;13:00;14:00;1;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T13:00+01:00;2014-01-18T14:00+01:00;2014-01-18;13:00;14:00;2;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T13:00+01:00;2014-01-18T14:00+01:00;2014-01-18;13:00;14:00;Totalt i retning B�RUMSVEIEN;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T13:00+01:00;2014-01-18T14:00+01:00;2014-01-18;13:00;14:00;Totalt i retning E18;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T13:00+01:00;2014-01-18T14:00+01:00;2014-01-18;13:00;14:00;Totalt;524;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T14:00+01:00;2014-01-18T15:00+01:00;2014-01-18;14:00;15:00;1;288;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T14:00+01:00;2014-01-18T15:00+01:00;2014-01-18;14:00;15:00;2;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T14:00+01:00;2014-01-18T15:00+01:00;2014-01-18;14:00;15:00;Totalt i retning B�RUMSVEIEN;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T14:00+01:00;2014-01-18T15:00+01:00;2014-01-18;14:00;15:00;Totalt i retning E18;288;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T14:00+01:00;2014-01-18T15:00+01:00;2014-01-18;14:00;15:00;Totalt;573;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T15:00+01:00;2014-01-18T16:00+01:00;2014-01-18;15:00;16:00;1;289;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T15:00+01:00;2014-01-18T16:00+01:00;2014-01-18;15:00;16:00;2;273;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T15:00+01:00;2014-01-18T16:00+01:00;2014-01-18;15:00;16:00;Totalt i retning B�RUMSVEIEN;273;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T15:00+01:00;2014-01-18T16:00+01:00;2014-01-18;15:00;16:00;Totalt i retning E18;289;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T15:00+01:00;2014-01-18T16:00+01:00;2014-01-18;15:00;16:00;Totalt;562;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T16:00+01:00;2014-01-18T17:00+01:00;2014-01-18;16:00;17:00;1;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T16:00+01:00;2014-01-18T17:00+01:00;2014-01-18;16:00;17:00;2;269;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T16:00+01:00;2014-01-18T17:00+01:00;2014-01-18;16:00;17:00;Totalt i retning B�RUMSVEIEN;269;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T16:00+01:00;2014-01-18T17:00+01:00;2014-01-18;16:00;17:00;Totalt i retning E18;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T16:00+01:00;2014-01-18T17:00+01:00;2014-01-18;16:00;17:00;Totalt;554;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T17:00+01:00;2014-01-18T18:00+01:00;2014-01-18;17:00;18:00;1;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T17:00+01:00;2014-01-18T18:00+01:00;2014-01-18;17:00;18:00;2;229;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T17:00+01:00;2014-01-18T18:00+01:00;2014-01-18;17:00;18:00;Totalt i retning B�RUMSVEIEN;229;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T17:00+01:00;2014-01-18T18:00+01:00;2014-01-18;17:00;18:00;Totalt i retning E18;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T17:00+01:00;2014-01-18T18:00+01:00;2014-01-18;17:00;18:00;Totalt;503;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T18:00+01:00;2014-01-18T19:00+01:00;2014-01-18;18:00;19:00;1;176;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T18:00+01:00;2014-01-18T19:00+01:00;2014-01-18;18:00;19:00;2;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T18:00+01:00;2014-01-18T19:00+01:00;2014-01-18;18:00;19:00;Totalt i retning B�RUMSVEIEN;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T18:00+01:00;2014-01-18T19:00+01:00;2014-01-18;18:00;19:00;Totalt i retning E18;176;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T18:00+01:00;2014-01-18T19:00+01:00;2014-01-18;18:00;19:00;Totalt;281;-;-;-;-;-;-;-;-;-;-;-;-;-;-
